,titles,authors,dates
834,Alignment as Game Design,Shos Tekofsky,2mo
835,Risk Management from a Climbers Perspective,Annapurna,2mo
836,"Cognitive Instability, Physicalism, and Free Will",dadadarren,2mo
837,All AGI safety questions welcome (especially basic ones) [July 2022],"plex, Robert Miles",2mo
838,QNR Prospects,PeterMcCluskey,2mo
839,To-do waves,Paweł Sysiak,2mo
840,"A summary of every ""Highlights from the Sequences"" post",Akash,2mo
841,Moneypumping Bryan Caplan's Belief in Free Will,Morpheus,2mo
842,Safety Implications of LeCun's path to machine intelligenceΩ,Ivan Vendrov,2mo
843,Comfort Zone Exploration,CFAR!Duncan,2mo
844,A time-invariant version of Laplace's rule,"Jsevillamol, Ege Erdil",2mo
845,An attempt to break circularity in science,fryloysis,2mo
846,Highlights from the memoirs of Vannevar Bush,jasoncrawford,2mo
847,Notes on Learning the PriorΩ,Spencer Becker-Kahn,2mo
848,Review of The Engines of Cognition,William Gasarch,2mo
849,A review of Nate Hilger's The Parent Trap,David Hugh-Jones,2mo
850,Musings on the Human Objective Function,Michael Soareverix,2mo
851,Peter Singer's first published piece on AI ,Fai,2mo
852,Don't use 'infohazard' for collectively destructive info,Eliezer Yudkowsky,2mo
853,Upcoming heatwave: advice,stavros,2mo
854,A note about differential technological developmentΩ,So8res,2mo
855,Inward and outward steelmanning,Q Home,2mo
856,Potato diet: A post mortem and an answer to SMTM's article,joy_void_joy,2mo
857,A story about a duplicitous API,LiLiLi,2mo
858,Proposed Orthogonality Theses #2-5,rjbg,2mo
859,Circumventing interpretability: How to defeat mind-readersΩ,Lee Sharkey,2mo
860,Criticism of EA Criticism Contest,Zvi,2mo
861,Humans provide an untapped wealth of evidence about alignmentΩ,"TurnTrout, Quintin Pope",1mo
862,"Wacky, risky, anti-inductive intelligence-enhancement methods?Q","NicholasKross, Quintin Pope",2mo
863,How to impress students with recent advances in ML?Q,Raphaël S,2mo
864,Notes on Love,David Gross,2mo
865,Better Quiddler,jefftk,2mo
866,Covid 7/14/22: BA.2.75 Plus Tax,Zvi,2mo
867,Deep learning curriculum for large language model alignmentΩ,Jacob_Hilton,2mo
868,Artificial Sandwiching: When can we test scalable alignment protocols without humans?Ω,Sam Bowman,2mo
869,Any tips for eliciting one's own latent knowledge?Q,MSRayne,2mo
870,Goal Alignment Is Robust To the Sharp Left Turn,Thane Ruthenis,2mo
871,Making decisions using multiple worldviews,Richard_Ngo,2mo
872,App idea to help with reading STEM textbooks (feedback request)Q,AllAmericanBreakfast,2mo
873,MIRI Conversations: Technology Forecasting & Gradualism (Distillation),TheMcDouglas,2mo
874,How could the universe be infinitely large?Q,amarai,2mo
875,John von Neumann on how to safely progress with technology,Dalton Mabery,2mo
876,Everyone is an Imposter ,Tharin,2mo
877,Which AI Safety research agendas are the most promising?QΩ,Chris_Leong,2mo
878,Straw-Steelmanning,Chris van Merwijk,2mo
879,Alien Message Contest: Solution,DaemonicSigil,2mo
880,"Can what I am good at contribute on this forum? And if yes, how?Q",[anonymous],2mo
881,Passing Up Pay,jefftk,2mo
882,What is wrong with this approach to corrigibility?Q,Rafael Cosman,2mo
883,Acceptability Verification: A Research AgendaΩ,"David Udell, evhub",2mo
884,"Progress links and tweets, 2022-07-12",jasoncrawford,2mo
885,"Response to Blake Richards: AGI, generality, alignment, & loss functionsΩ",Steven Byrnes,2mo
886,Three Minimum Pivotal Acts Possible by Narrow AI,Michael Soareverix,2mo
887,Mosaic and Palimpsests: Two Shapes of ResearchΩ,adamShimi,2mo
888,How do you concisely communicate & navigate the politics / culture at your job working at a large corporation or institution?Q,Willa,2mo
889,On how various plans miss the hard bits of the alignment challengeΩ,So8res,2mo
890,Rainmaking,WalterL,2mo
891,Book Review: Neal Stephenson’s “Termination Shock”,Tyler Simmons,2mo
892,Defining Optimization in a Deeper Way Part 2,Jemist,2mo
893,"Marriage, the Giving What We Can Pledge, and the damage caused by vague public commitments",Jeffrey Ladish,2mo
894,Systemization,CFAR!Duncan,2mo
895,How Can I Maximize My Happiness?,Matt Goldwater,2mo
896,How do AI timelines affect how you live your life? Q,"Quadratic Reciprocity, Aditya",2mo
897,Checksum Sensor Alignment,lsusr,2mo
898,The Alignment Problem,lsusr,2mo
899,Announcing Future Forum - Apply Now,"wANIEL, freemany",2mo
900,Immanuel Kant and the Decision Theory App Store,Daniel Kokotajlo,2mo
901,"Avoid the abbreviation ""FLOPs"" – use ""FLOP"" or ""FLOP/s"" instead",Daniel_Eth,3mo
902,My Opportunity Costs,abstractapplic,3mo
903,Hessian and Basin volumeΩ,Vivek Hebbar,3mo
904,Taste & Shaping,CFAR!Duncan,3mo
905,"Comment on ""Propositions Concerning Digital Minds and Society""",Zack_M_Davis,3mo
906,We are now at the point of deepfake job interviews,Trevor1,3mo
907,"Metaculus is seeking experienced leaders, researchers & operators for high-impact roles",ChristianWilliams,2mo
908,Why Portland,Adam Zerner,3mo
909,Heaven: The last part of dystopia,Existism,3mo
910,Hope Can = Heaven ,Existism,3mo
911,Report from a civilizational observer on Earth,owencb,3mo
912,Grouped Loss may disfavor discontinuous capabilitiesΩ,Adam Jermyn,3mo
913,Train first VS prune first in neural networks.Ω,Donald Hobson,3mo
914,"Visualizing Neural networks, how to blame the biasΩ",Donald Hobson,3mo
915,Using Ngram to estimate depression prevalence over time,David Gross,3mo
916,"Making it harder for an AGI to ""trick"" us, with STVsΩ",Tor Økland Barstad,3mo
917,Ars D&D.sci: Mysteries of Mana,aphyer,3mo
918,Some thoughts on Animals,nitinkhanna,3mo
919,MATS Models,johnswentworth,3mo
920,I’ve become a medical mystery and I don’t know how to effectively get helpQ,"CraigMichael, AllAmericanBreakfast",3mo
921,Changes in Community Dynamics: A Follow-Up to 'The Berkeley Community & the Rest of Us',Evan_Gaensbauer,3mo
922,Research Notes: What are we aligning for?,Shos Tekofsky,3mo
923,User research as a barometer of software design,Adam Zerner,3mo
924,Reinforcement Learner Wireheading,Nate Showell,3mo
925,Exposition as science: some ideas for how to make progress,riceissa,3mo
926,In Search of Strategic Clarity,james.lucassen,3mo
927,Unbounded Intelligence Lottery,kman,3mo
928,What New Desktop Should I Buy?Q,Zvi,3mo
929,Being a donor for Fecal Microbiota Transplants (FMT): Do good & earn easy money (up to 180k/y),Anton Rodenhauser,3mo
930,Safety considerations for online generative modelingΩ,Sam Marks,3mo
931,Human values & biases are inaccessible to the genomeΩ,TurnTrout,3mo
932,Cooperation with and between AGI\'s,PeterMcCluskey,3mo
933,Aversion Factoring,CFAR!Duncan,3mo
934,Genders Discrimination,Jacob Falkovich,3mo
935,Consider Multiclassing,JustisMills,3mo
936,Babysitting as Parenting Trial?,jefftk,3mo
937,When Giving People Money Doesn’t Help,Zvi,3mo
938,Wealth as a source of technological stagnation?,alyssavance,3mo
939,Race Along Rashomon RidgeΩ,"Stephen Fowler, Peter S. Park, MichaelEinhorn",3mo
940,What one paper would you show to someone to get them excited about your field?Q,oh54321,3mo
941,Principles for Alignment/Agency ProjectsΩ,johnswentworth,3mo
942,Confusions in My Model of AI Risk,peterbarnett,3mo
943,​Some Adventures of a Curious Richard Feynman,Dalton Mabery,3mo
944,How to Become a World Historical Figure (Péladan's Dream),rogersbacon,3mo
945,Covid 7/7/22: Paxlovid at the Pharmacy,Zvi,3mo
946,Cognitive Dissonance on Cognitive Capability,niederman,3mo
947,Outer vs inner misalignment: three framingsΩ,Richard_Ngo,3mo
948,Four Societal Interventions to Improve our AGI Position,Rafael Cosman,3mo
949,Deep neural networks are not opaque.,jem-mosig,3mo
950,"How humanity would respond to slow takeoff, with takeaways from the entire COVID-19 pandemic ",Noosphere89,3mo
951,Should you write under a blog or your own name?Q,Dalton Mabery,3mo
952,Predicting Parental Emotional Changes?,jefftk,3mo
953,Forecasting Through Fiction,Yitz,3mo
954,"My vision of a good future, part I",Jeffrey Ladish,3mo
955,Understanding updatelessness in the context of EDT and CDT,Sylvester Kollin,3mo
956,Tarnished Guy who Puts a Num on it,Jacob Falkovich,3mo
957,Carrying the Torch: A Response to Anna Salamon by the Guild of the Rose,moridinamael,3mo
958,Introducing the Fund for Alignment Research (We're Hiring!)Ω,"AdamGleave, Scott Emmons, Ethan Perez, Claudia Shi",3mo
959,Imperial Russia was doing fine without the Soviets,Davis Kedrosky,3mo
960,A Pattern Language For Rationality,Vaniver,3mo
961,How to destroy the universe with a hypercomputer,Trevor Cappallo,3mo
962,The curious case of Pretty Good human inner/outer alignment,PavleMiha,3mo
963,When is it appropriate to use statistical models and probabilities for decision making ?,Younes Kamel,3mo
964,Goal Factoring,CFAR!Duncan,3mo
965,Assorted thoughts about abstraction ,Adam Zerner,3mo
966,[AN #172] Sorry for the long hiatus!Ω,Rohin Shah,3mo
967,Outline: The Rectifying of Maps,hamnox,3mo
968,"ITT-passing and civility are good; ""charity"" is bad; steelmanning is niche",Rob Bensinger,2mo
969,Seeking opinions on the current and forward state of cryptocurrencies.Q,jmh,3mo
970,Please help us communicate AI xrisk. It could save the world.,otto.barten,3mo
971,Benchmark for successful concept extrapolation/avoiding goal misgeneralizationΩ,Stuart_Armstrong,3mo
972,"Procedural Executive Function, Part 1",DaystarEld,3mo
973,Anthropic's SoLU (Softmax Linear Unit),Joel Burget,3mo
974,Book Review: The Righteous Mind,ErnestScribbler,3mo
975,My Most Likely Reason to Die Young is AI X-Risk,AISafetyIsNotLongtermist,3mo
976,"Is General Intelligence ""Compact""?",DragonGod,3mo
977,Remaking EfficientZero (as best I can)Ω,Hoagy,3mo
978,We Need a Consolidated List of Bad AI Alignment Solutions,Double,3mo
979,AI Forecasting: One Year In,jsteinhardt,3mo
980,A compressed take on recent disagreements,kman,3mo
981,New US Senate Bill on X-Risk Mitigation [Linkpost],Evan R. Murphy,3mo
982,Monthly Shorts 6/22,Celer,3mo
983,Decision theory and dynamic inconsistency,paulfchristiano,3mo
984,Five routes of access to scientific literature,AllAmericanBreakfast,3mo
985,Toni Kurz and the Insanity of Climbing Mountains,GeneSmith,1mo
986,Wonder and The Golden AI Rule,JeffreyK,3mo
987,Evolution Doesn’t Have Feelings,Matt Goldwater,3mo
988,Nature abhors an immutable replicator... usually,MSRayne,3mo
989,Post hoc justifications as Compression Algorithm,Johannes C. Mayer,3mo
990,SOMA - A story about Consciousness,Johannes C. Mayer,3mo
991,Can we achieve AGI Alignment by balancing multiple human objectives?,Ben Smith,3mo
992,Trigger-Action Planning,CFAR!Duncan,3mo
993,Sexual self-acceptance,Johannes C. Mayer,3mo
994,Which one of these two academic routes should I take to end up in AI Safety?Q,Martín Soto,3mo
995,Naive Hypotheses on AI Alignment,Shos Tekofsky,3mo
996,The Tree of Life: Stanford AI Alignment Theory of Change,Gabriel Mukobi,3mo
997,Welcome to Analogia! (Chapter 7),Justin Bullock,3mo
998,What about transhumans and beyond?Q,AlignmentMirror,3mo
999,Goal-directedness: tackling complexity,Morgan_Rogers,3mo
1000,Literature recommendations July 2022,ChristianKl,3mo
1001,Deontological Evil,lsusr,3mo
1002,Could an AI Alignment Sandbox be useful?,Michael Soareverix,3mo
1003,Five views of Bayes' Theorem,Adam Scherlis,3mo
1004,[Linkpost] Existential Risk Analysis in Empirical Research PapersΩ,Dan Hendrycks,3mo
1005,Agenty AGI – How Tempting?,PeterMcCluskey,3mo
1006,Follow along with Columbia EA's Advanced AI Safety Fellowship!,RohanS,3mo
1007,AXRP Episode 16 - Preparing for Debate AI with Geoffrey IrvingΩ,DanielFilan,3mo
1008,Examples of practical implications of Judea Pearl's Causality workQ,ChristianKl,3mo
1009,Minerva,Algon,3mo
1010,Disarming status,sano,3mo
1011,Paper: Forecasting world events with neural nets,"Owain_Evans, Dan Hendrycks, Joe Kwon",3mo
1012,Reframing the AI Risk,Thane Ruthenis,3mo
1013,"Limerence Messes Up Your Rationality Real Bad, Yo",Raemon,3mo
1014,[Link] On the paradox of tolerance in relation to fascism and online content moderation – Unstable Ontology,Kenny,3mo
1015,Trends in GPU price-performanceΩ,"Marius Hobbhahn, Tamay",3mo
1016,How to deal with non-schedulable one-off stimulus-response-pair-like situations when planning/organising projects?Q,mikbp,3mo
1017,What Is The True Name of Modularity?Ω,"TheMcDouglas, Lucius Bushnaq, Avery",3mo
1018,Defining Optimization in a Deeper Way Part 1,Jemist,3mo
1019,SafetywashingΩ,Adam Scholl,3mo
1020,AGI alignment with what?Q,AlignmentMirror,3mo
1021,Who is this MSRayne person anyway?,MSRayne,3mo
1022,Open & Welcome Thread - July 2022,Kaj_Sotala,3mo
1023,Forecasts are not enough,Ege Erdil,3mo
1024,Murphyjitsu: an Inner Simulator algorithm,CFAR!Duncan,3mo
1025,GPT-3 Catching Fish in Morse Code,Megan Kinniment,3mo
1026,Metacognition in the Rat,Jacob Falkovich,3mo
1027,On viewquakes,Dalton Mabery,3mo
1028,The Track Record of Futurists Seems ... Fine,HoldenKarnofsky,3mo
1029,Quick survey on AI alignment resources,frances_lorenz,3mo
1030,"[Linkpost] Solving Quantitative Reasoning Problems with
Language Models",Yitz,3mo
1031,Failing to fix a dangerous intersection,alyssavance,3mo
1032,Most Functions Have Undesirable Global Extrema,En Kepeig,3mo
1033,    Hedonistic Isotopes:,Trozxzr,3mo
1034,Abadarian Trades,David Udell,3mo
1035,Formal Philosophy and Alignment Possible ProjectsΩ,Whispermute,3mo
1036,Cultivating And Destroying Agency,hath,3mo
1037,Covid 6/30/22: Vaccine Update Update,Zvi,3mo
1038,How should I talk about optimal but not subgame-optimal play?Q,JamesFaville,3mo
1039,Gradient hacking: definitions and examplesΩ,Richard_Ngo,3mo
1040,"Progress links and tweets, 2022-06-29",jasoncrawford,3mo
1041,Correcting human error vs doing exactly what you're told - is there literature on this in context of general system design?Q,Jan Czechowski,3mo
1042,Latent Adversarial TrainingΩ,Adam Jermyn,3mo
1043,Limits to Legibility,Jan_Kulveit,3mo
1044,Will Capabilities Generalise More?Ω,Ramana Kumar,3mo
1045,"Kevin Kelly's ""103 Bits of Advice,"" Expanded",Dalton Mabery,3mo
1046,The table of different sampling assumptions in anthropics,avturchin,3mo
1047,Can We Align AI by Having It Learn Human Preferences? I’m Scared (summary  of last third of Human Compatible),apollonianblues,3mo
1048,Kurzgesagt – The Last Human (Youtube),habryka,3mo
1049,Game Review: This Merchant Life,Zvi,3mo
1050,Literature on How to Maximize PreferencesQ,josh,3mo
1051,Challenge: A Much More Alien Message,kman,3mo
1052,It’s Probably Not Lithium,Natália Coelho Mendonça,3mo
1053,"Reflections on Living in ""Guess Culture""",Dalton Mabery,3mo
1054,What Are You Tracking In Your Head?,johnswentworth,3mo
1055,Why is so much political commentary misleading?,contrarianbrit,3mo
1056,CFAR Handbook: Introduction,CFAR!Duncan,3mo
1057,Units of Exchange,CFAR!Duncan,3mo
1058,Scott Aaronson and Steven Pinker Debate AI Scaling,Liron,3mo
1059,A physicist's approach to Origins of Life,pchvykov,3mo
1060,What success looks likeΩ,"Marius Hobbhahn, MaxRa, JasperGeh, Yannick_Muehlhaeuser",3mo
1061,Four reasons I find AI safety emotionally compelling,"KatWoods, AmberDawn",3mo
1062,Some alternative AI safety research projectsΩ,Michele Campolo,3mo
1063,Doom doubts - is inner alignment a likely problem?,Crissman,3mo
1064,What is the LessWrong Logo(?) Supposed to Represent?Q,DragonGod,3mo
1065,Low-Friction MBTA Predictions,jefftk,3mo
1066,[Yann Lecun] A Path Towards Autonomous Machine Intelligence ,DragonGod,3mo
1067,Exploring Mild Behaviour in Embedded AgentsΩ,Megan Kinniment,3mo
1068,Epistemic modesty and how I think about AI risk,Aryeh Englander,3mo
1069,Deliberation Everywhere: Simple ExamplesΩ,Oliver Sourbut,3mo
1070,"Deliberation, Reactions, and Control: Tentative Definitions and a Restatement of Instrumental ConvergenceΩ",Oliver Sourbut,3mo
1071,Are long-form dating profiles productive?Q,"AABoyles, Lukas_Gloor",3mo
1072,Custom iPhone Widget to Encourage Less Wrong Use,Will Payne,3mo
1073,Announcing the Inverse Scaling Prize ($250k Prize Pool)Ω,"Ethan Perez, Ian McKenzie, Sam Bowman",3mo
1074,Air Conditioner Repair,Zvi,3mo
1075,Contest: An Alien Message,DaemonicSigil,3mo
1076,"Robin Hanson asks ""Why Not Wait On AI Risk?""",Gunnar_Zarncke,3mo
1077,Limits of Bodily Autonomy,jefftk,3mo
1078,Systems Biology for self studyQ,Ulisse Mini,3mo
1079,Announcing Epoch: A research organization investigating the road to Transformative AIΩ,"Jsevillamol, Pablo Villalobos, Tamay, lennart, Marius Hobbhahn, anson.ho",3mo
1080,Why Are Posts in the Sequences Tagged [Personal Blog] Instead of [Frontpage]?Q,DragonGod,3mo
1081,"Do You Care Whether There Are ""Successful"" Rationalists?",Matt Goldwater,3mo
1082,Training Trace Priors and Speed PriorsΩ,Adam Jermyn,3mo
1083,My current take on Internal Family Systems “parts”,Kaj_Sotala,3mo
1084,A Quick Ontology of Agreement,ravedon,3mo
1085,Seven ways to become unstoppably agentic,Evie Cottrell,3mo
1086,Formalizing Deception,JamesH,3mo
1087,Dust Theory vs Ruliad,svemirski,3mo
1088,How do poor countries get rich: some theories ,NathanBarnard,3mo
1089,The Basics of AGI Policy (Flowchart),Trevor1,3mo
1090,My cognitive inertia cycle,MSRayne,3mo
1091,Child Contracting,jefftk,3mo
1092,Conditioning Generative ModelsΩ,Adam Jermyn,3mo
1093,Unforgivable,Novalis,3mo
1094,SunPJ in Alenia,FlorianH,3mo
1095,Everything you need to know about UFOs (in 26 words),Trevor1,3mo
1096,Fundamental Uncertainty: Chapter 3 - Why can't we all agree on what's right?,G Gordon Worley III,3mo
1097,"How ""should"" counterfactual prediction markets work?Q",eapi,3mo
1098,Conversation with Eliezer: What do you want the system to do?,Akash,3mo
1099,AI-Written Critiques Help Humans Notice FlawsΩ,paulfchristiano,3mo
1100,Identification of Natural Modularity,Stephen Fowler,3mo
1101,Quick Summaries of Two Papers on Kant and Game Theory,Erich_Grunewald,3mo
1102,"Do you consider your current, non-superhuman self aligned with “humanity” already?Q",Rana Dexsin,3mo
1103,Some reflections on the LW community after several months of active engagement,M. Y. Zuo,3mo
1104,"On The Spectrum, On The Guest List: (vii) The Marquee",party girl,3mo
1105,[LQ] Some Thoughts on Messaging Around AI Risk,DragonGod,3mo
1106,Dependencies for AGI pessimism,Yitz,3mo
1107,[Link] Childcare : what the science says,Gunnar_Zarncke,3mo
1108,What if the best path for a person who wants to work on AGI alignment is to join Facebook or Google?,dbasch,3mo
1109,"[Link] Adversarially trained neural representations may already be as robust as
corresponding biological neural representations",Gunnar_Zarncke,3mo
1110,Updated Deference is not a strong argument against the utility uncertainty approach to alignmentΩ,Ivan Vendrov,3mo
1111,"Cracks in the Wall, Part I: The Conscious",silo,3mo
1112,Do alignment concerns extend to powerful non-AI agents?Q,Ozyrus,3mo
1113,Worked Examples of Shapley Values,lalaithion,3mo
1114,Intelligence in Commitment Races,David Udell,3mo
1115,Linkpost: Robin Hanson - Why Not Wait On AI Risk?,Yair Halberstadt,3mo
1116,LessWrong Has Agree/Disagree Voting On All New Comment Threads,Ben Pace,3mo
1117,How large of an army could you make with the first 'human-level' AGIs?,Josh,3mo
1118,Raphaël Millière on Generalization and Scaling Maximalism,Michaël Trazzi,3mo
1119,Feature request: voting buttons at the bottom?,Oliver Sourbut,3mo
1120,Does Lesswrong allow GIFs?,Trevor1,3mo
1121,Book review: The Passenger by Lisa Lutz,KatjaGrace,3mo
1122,20 Critiques of AI Safety That I Found on Twitter,dkirmani,3mo
1123,The Limits of Automation,milkandcigarettes,3mo
1124,Is CIRL a promising agenda?Q,Chris_Leong,3mo
1125,[Link] OpenAI: Learning to Play Minecraft with Video PreTraining (VPT),Aryeh Englander,3mo
1126,Half-baked AI Safety ideas thread,Aryeh Englander,3mo
1127,Nonprofit Boards are Weird,HoldenKarnofsky,3mo
1128,How do states respond to changes in nuclear risk,NathanBarnard,3mo
1129,What’s the contingency plan if we get AGI tomorrow?Q,"Yitz, Quintin Pope",3mo
1130,"What are the best ""policy"" approaches in worlds where alignment is difficult? Q",LHA,3mo
1131,AI Training Should Allow Opt-Out,alyssavance,3mo
1132,Loose thoughts on AGI risk,Yitz,3mo
1133,Covid 6/23/22: Under Five Alive,Zvi,3mo
1134,Air Conditioner Test Results & Discussion,johnswentworth,3mo
1135,Announcing the LessWrong Curated Podcast,"Ben Pace, Solenoid_Entity",3mo
1136,"Google's new text-to-image model - Parti, a demonstration of scaling benefits",Kayden,3mo
1137,Building an Epistemic Status Tracker,rcu,3mo
1138,Confusion about neuroscience/cognitive science as a danger for AI Alignment,Samuel Nellessen,3mo
1139,How do I use caffeine optimally?Q,randomstring,3mo
1140,Make learning a reality,Dalton Mabery,3mo
1141,Reflection Mechanisms as an Alignment target: A surveyΩ,"Marius Hobbhahn, elandgre, Beth Barnes",3mo
1142,How to Visualize Bayesianism,David Udell,3mo
1143,Are there spaces for extremely short-form rationality content?Q,Aleksi Liimatainen,3mo
1144,Solstice Movie Review: Summer Wars,JohnBuridan,3mo
1145,Security Mindset: Lessons from 20+ years of Software Security Failures Relevant to AGI Alignment,elspood,3mo
1146,A Quick List of Some Problems in AI Alignment As A Field,NicholasKross,3mo
1147,Politics is the Mind Killer. But is it getting worse?Q,Trevor1,3mo
1148,House Phone,jefftk,3mo
1149,What is the difference between AI misalignment and bad programming?Q,puzzleGuzzle,3mo
1150,One single meme that makes you Less Wrong in general,Trevor1,3mo
1151,What I mean by the phrase “getting intimate with reality”,Luise,3mo
1152,"What I mean by the phrase ""taking ideas seriously""",Luise,3mo
1153,"Progress links and tweets, 2022-06-20",jasoncrawford,3mo
1154,Debating Whether AI is Conscious Is A Distraction from Real Problems,sidhe_they,3mo
1155,Mitigating the damage from unaligned ASI by cooperating with aliens that don't exist yet,MSRayne,3mo
1156,The inordinately slow spread of good AGI conversations in ML,Rob Bensinger,3mo
1157,Getting from an unaligned AGI to an aligned AGI? Ω,Tor Økland Barstad,3mo
1158,Dagger of Detect Evil,lsusr,3mo
1159,What is the most probable AI?Q,Zeruel017,3mo
1160,Hydrophobic Glasses Coating Review,jefftk,3mo
1161,Common but neglected risk factors that may let you get Paxlovid,AllAmericanBreakfast,3mo
1162,How easy/fast is it for a AGI to hack computers/a human brain?Q,Noosphere89,3mo
1163,A Toy Model of Gradient HackingΩ,Oam Patel,3mo
1164,"Is This Thing Sentient, Y/N?",Thane Ruthenis,3mo
1165,Steam,abramdemski,3mo
1166,Parable: The Bomb that doesn't Explode,Conor Sullivan,3mo
1167,On corrigibility and its basinΩ,Donald Hobson,3mo
1168,Key Papers in Language Model Safety,aogara,3mo
1169,Relationship Advice Repository,Ruby,3mo
1170,Adaptation Executors and the Telos Margin,Plinthist,3mo
1171,Are we there yet?,theflowerpot,3mo
1172,Causal confusion as an argument against the scaling hypothesisΩ,RobertKirk,3mo
1173,An AI defense-offense symmetry thesis,Chris van Merwijk,3mo
1174,Evaluating a Corsi-Rosenthal Filter Cube,jefftk,3mo
1175,Survey re AIS/LTism office in NYC,RyanCarey,3mo
1176,Announcing the DWATV Discord,Zvi,3mo
1177,Let's See You Write That Corrigibility TagΩ,Eliezer Yudkowsky,3mo
1178,Half-baked alignment idea: training to generalize,Aaron Bergman,3mo
1179,Where I agree and disagree with EliezerΩ,paulfchristiano,3mo
1180,AI misalignment risk from GPT-like systems?Q,fiso64,3mo
1181,[Link-post] On Deference and Yudkowsky's AI Risk Estimates,bmg,3mo
1182,Have The Effective Altruists And Rationalists Brainwashed Me?,Matt Goldwater,3mo
1183,Hebbian Learning Is More Common Than You Think,Aleksi Liimatainen,3mo
1184,The Malthusian Trap: An Extremely Short Introduction,Davis Kedrosky,3mo
1185,Parliaments without the Parties,Yair Halberstadt,3mo
1186,Lamda is not an LLM,Kevin,3mo
1187,Getting stuck in local minima,louis030195,3mo
1188,[Linkpost] The importance of stupidity in scientific research,Pattern,3mo
1189,Specific problems with specific animal comparisons for AI policy,Trevor1,3mo
1190,ETH is probably undervalued right now,mukashi,3mo
1191,Juneberry Cake,jefftk,3mo
1192,Agent level parallelismΩ,Johannes C. Mayer,3mo
1193,What are our outs to play to?,Hastings,3mo
1194,What's the information value of government hearings?Q,Kenny,3mo
1195,What's the name of this fallacy/reasoning antipattern?Q,David Gross,3mo
1196,"""Brain enthusiasts"" in AI Safety","Jan, Samuel Nellessen",3mo
1197,To what extent have ideas and scientific discoveries gotten harder to find?,lsusr,3mo
1198,What's the goal in life?Q,Konstantin Weitz,3mo
1199,In defence of flailing,acylhalide,3mo
1200,Can DALL-E understand simple geometry?,Isaac King,3mo
1201,Why don't we think we're in the simplest universe with intelligent life?Q,ADifferentAnonymous,3mo
1202,Do yourself a FAVAR: security mindsetΩ,lcmgcd,3mo
1203,Forecasting Fusion Power,Daniel Kokotajlo,3mo
1204,Pivotal outcomes and pivotal processesΩ,Andrew_Critch,3mo
1205,The best 'free solo' (rock climbing) video,Kenny,3mo
1206,Scott Aaronson is joining OpenAI to work on AI safety,peterbarnett,3mo
1207,Quantifying General IntelligenceΩ,JasonBrown,3mo
1208,Things That Make Me Enjoy Giving Career Advice,Neel Nanda,3mo
1209,The Unified Theory of Normative Ethics,Thane Ruthenis,3mo
1210,1689: Uncovering the World New Institutionalism Created,Davis Kedrosky,3mo
1211,Is there an unified way to make sense of ai failure modes?Q,walking_mushroom,3mo
1212,"In defense of flailing, with foreword by Bill Burr",lc,3mo
1213,An Approach to Land Value Taxation,harsimony,3mo
1214,Value extrapolation vs WireheadingΩ,Stuart_Armstrong,3mo
1215,#SAT with Tensor Networks,Adam Jermyn,3mo
1216,Is civilizational alignment on the table?Q,Aleksi Liimatainen,3mo
1217,wrapper-minds are the enemyΩ,nostalgebraist,3mo
1218,A Litany Missing from the Canon,benwr,3mo
1219,Apply for Productivity Coaching and AI Alignment Mentorship,Nick,3mo
1220,Announcing the Clearer Thinking Regrants program,spencerg,3mo
1221,Apply to the Machine Learning For Good bootcamp in France,Alexandre Variengien,3mo
1222,What's it like to have sex with Duncan?,Duncan_Sabien,3mo
1223,BBC Future covers progress studies,jasoncrawford,3mo
1224,Humans are very reliable agentsΩ,alyssavance,2mo
1225,Towards Gears-Level Understanding of Agency,Thane Ruthenis,3mo
1226,"A possible AI-inoculation due to early ""robot uprising""",shminux,3mo
1227,"[Link] ""The madness of reduced medical diagnostics"" by Dynomight",Kenny,3mo
1228,Breaking Down Goal-Directed BehaviourΩ,Oliver Sourbut,3mo
1229,Perils of optimizing in social contexts,owencb,3mo
1230,Don't Over-Optimize Things,owencb,3mo
1231,Security analysis of 'cloud chemistry labs'?Q,Kenny,3mo
1232,Is there a worked example of Georgian taxes?Q,Dagon,3mo
1233,"Alignment research for ""meta"" purposes",acylhalide,3mo
1234,"Ten experiments in modularity, which we'd like you to run!Ω","TheMcDouglas, Lucius Bushnaq, Avery",3mo
1235,What if LaMDA is indeed sentient / self-aware / worth having rights?Q,"RomanS, Daniel Kokotajlo",3mo
1236,"AI Risk, as Seen on Snapchat",dkirmani,3mo
1237,Covid 6/16/22: Do Not Hand it to Them,Zvi,3mo
1238,Against Active Shooter Drills,Zvi,3mo
1239,Contra Hofstadter on GPT-3 Nonsense,rictic,3mo
1240,Optimization power as divergence from default trajectories,Josh,3mo
1241,"Progress links and tweets, 2022-06-13",jasoncrawford,3mo
1242,Contextual Evil,ACrackedPot,3mo
1243,Multigate Priors,Adam Jermyn,3mo
1244,FYI: I’m working on a book about the threat of AGI/ASI for a general audience. I hope it will be of value to the cause and the community,Darren McKee,3mo
1245,What are all the AI Alignment and AI Safety Communication Hubs?Q,Gunnar_Zarncke,3mo
1246,"Georgism, in theory",Stuart_Armstrong,3mo
1247,"A central AI alignment problem: capabilities generalization, and the sharp left turnΩ",So8res,3mo
1248,Our mental building blocks are more different than I thought,Marius Hobbhahn,3mo
